series,timepoints,value
T2,143,18668.0
T2,144,17885.0
T2,145,17283.0
T2,146,17944.0
T2,147,16862.0
T2,148,15980.0
T2,149,15822.0
T2,150,16172.0
T2,151,15958.0
T2,152,15906.0
T2,153,15784.0
T2,154,15573.0
T2,155,15688.0
T3,0,11220.0
T3,1,15239.0
T3,2,9753.0
T3,3,20274.0
T3,4,29283.0
T3,5,36683.0
T3,6,38309.0
T3,7,37423.0
T3,8,9673.0
T3,9,1765.0
T3,10,1724.0
T3,11,1794.0
T3,12,1510.0
T3,13,1715.0
T3,14,1723.0
T3,15,1736.0
T3,16,1729.0
T3,17,1696.0
T3,18,1436.0
T3,19,1342.0
T3,20,1349.0
T3,21,1351.0
T3,22,1351.0
T3,23,1350.0
T3,24,1351.0
T3,25,1354.0
T3,26,1344.0
T3,27,1357.0
T3,28,1367.0
T3,29,1368.0
T3,30,1362.0
T3,31,1377.0
T3,32,1428.0
T3,33,1376.0
T3,34,1352.0
T3,35,1363.0
T3,36,1370.0
T3,37,1362.0
T3,38,1363.0
T3,39,1664.0
T3,40,1616.0
T3,41,1415.0
T3,42,2093.0
T3,43,2632.0
T3,44,2351.0
T3,45,2486.0
T3,46,2861.0
T3,47,3099.0
T3,48,3098.0
T3,49,3010.0
T3,50,2887.0
T3,51,2878.0
T3,52,2953.0
T3,53,2984.0
T3,54,3039.0
T3,55,3065.0
T3,56,2732.0
T3,57,2579.0
T3,58,2479.0
T3,59,2339.0
T3,60,2617.0
T3,61,2631.0
T3,62,2486.0
T3,63,2390.0
T3,64,2068.0
T3,65,2077.0
T3,66,1963.0
T3,67,1408.0
T3,68,1421.0
T3,69,1494.0
T3,70,1419.0
T3,71,1358.0
T3,72,1355.0
T3,73,1379.0
T3,74,1379.0
T3,75,1368.0
T3,76,1380.0
T3,77,1360.0
T3,78,1383.0
T3,79,1378.0
T3,80,1375.0
T3,81,1377.0
T3,82,1377.0
T3,83,1375.0
T3,84,1368.0
T3,85,1360.0
T3,86,1380.0
T3,87,1394.0
T3,88,1372.0
T3,89,1366.0
T3,90,1359.0
T3,91,1394.0
T3,92,1331.0
T3,93,1355.0
T3,94,1339.0
T3,95,1348.0
T3,96,1348.0
T3,97,1348.0
T3,98,1348.0
T3,99,1348.0
T3,100,1348.0
T3,101,1348.0
T3,102,1348.0
T3,103,1156.0
T3,104,1156.0
T3,105,1348.0
T3,106,1348.0
T3,107,1348.0
T3,108,1348.0
T3,109,1348.0
T3,110,1348.0
T3,111,1348.0
T3,112,1348.0
T3,113,1348.0
T3,114,1348.0
T3,115,1348.0
T3,116,1348.0
T3,117,1324.0
T3,118,1324.0
T3,119,1324.0
T3,120,1324.0
T3,121,1324.0
T3,122,1324.0
T3,123,1324.0
T3,124,1324.0
T3,125,1324.0
T3,126,1324.0
T3,127,1324.0
T3,128,1324.0
T3,129,1324.0
T3,130,1324.0
T3,131,1324.0
T3,132,1324.0
T3,133,1324.0
T3,134,1324.0
T3,135,1324.0
T3,136,1324.0
T3,137,1324.0
T3,138,1324.0
T3,139,1324.0
T3,140,1324.0
T3,141,1324.0
T3,142,1324.0
T3,143,1324.0
T3,144,1324.0
T3,145,1324.0
T3,146,1324.0
T3,147,1324.0
T3,148,1324.0
T3,149,1324.0
T3,150,1324.0
T3,151,1324.0
T3,152,1324.0
T3,153,1324.0
T3,154,1324.0
T3,155,1133.0
T4,0,83369.0
T4,1,81878.0
T4,2,83173.0
T4,3,80482.0
T4,4,86231.0
T4,5,91704.0
T4,6,89284.0
T4,7,77948.0
T4,8,71453.0
T4,9,71908.0
T4,10,61588.0
T4,11,67703.0
T4,12,61887.0
T4,13,65048.0
T4,14,60394.0
T4,15,63877.0
T4,16,62199.0
T4,17,65422.0
T4,18,60409.0
T4,19,58729.0
T4,20,57749.0
T4,21,59483.0
T4,22,58042.0
T4,23,58870.0
T4,24,59839.0
T4,25,60600.0
T4,26,58642.0
T4,27,59863.0
T4,28,66174.0
T4,29,63460.0
T4,30,61494.0
T4,31,61055.0
T4,32,60053.0
T4,33,60678.0
T4,34,59887.0
T4,35,60481.0
T4,36,61372.0
T4,37,61675.0
T4,38,59442.0
T4,39,58199.0
T4,40,59054.0
T4,41,58465.0
T4,42,58623.0
T4,43,62528.0
T4,44,68370.0
T4,45,70226.0
T4,46,69310.0
T4,47,76926.0
T4,48,80003.0
T4,49,81374.0
T4,50,81062.0
T4,51,79198.0
T4,52,82592.0
T4,53,78230.0
T4,54,78029.0
T4,55,80805.0
T4,56,78280.0
T4,57,76872.0
T4,58,80273.0
T4,59,75804.0
T4,60,78650.0
T4,61,71052.0
T4,62,72949.0
T4,63,67243.0
T4,64,72449.0
T4,65,64733.0
T4,66,68372.0
T4,67,63115.0
T4,68,63938.0
T4,69,64582.0
T4,70,63082.0
T4,71,61894.0
T4,72,62305.0
T4,73,62180.0
T4,74,62370.0
T4,75,63374.0
T4,76,62421.0
T4,77,66080.0
T4,78,74825.0
T4,79,76826.0
T4,80,69211.0
T4,81,68637.0
T4,82,67296.0
T4,83,68911.0
T4,84,72956.0
T4,85,71373.0
T4,86,73226.0
T4,87,71802.0
T4,88,69627.0
T4,89,68837.0
T4,90,69122.0
T4,91,68195.0
T4,92,67259.0
T4,93,71066.0
T4,94,71206.0
T4,95,72646.0
T4,96,76278.0
T4,97,76832.0
T4,98,83618.0
T4,99,86260.0
T4,100,90400.0
T4,101,89229.0
T4,102,89440.0
T4,103,100308.0
T4,104,96894.0
T4,105,91578.0
T4,106,92656.0
T4,107,95900.0
T4,108,98725.0
T4,109,102885.0
T4,110,101143.0
T4,111,98365.0
T4,112,92771.0
T4,113,91411.0
T4,114,81145.0
T4,115,82684.0
T4,116,88046.0
T4,117,91729.0
T4,118,83911.0
T4,119,76532.0
T4,120,77519.0
T4,121,74938.0
T4,122,73190.0
T4,123,75498.0
T4,124,72317.0
T4,125,72386.0
T4,126,72403.0
T4,127,76239.0
T4,128,72258.0
T4,129,70779.0
T4,130,70558.0
T4,131,73907.0
T4,132,77100.0
T4,133,72782.0
T4,134,74035.0
T4,135,72967.0
T4,136,70630.0
T4,137,73192.0
T4,138,72612.0
T4,139,74298.0
T4,140,73765.0
T4,141,72686.0
T4,142,72371.0
T4,143,72508.0
T4,144,70947.0
T4,145,75892.0
T4,146,73702.0
T4,147,73923.0
T4,148,80014.0
T4,149,85674.0
T4,150,87184.0
T4,151,86563.0
T4,152,88779.0
T4,153,94601.0
T4,154,98122.0
T4,155,99051.0
T5,0,43956.0
T5,1,44750.0
T5,2,44668.0
T5,3,43102.0
T5,4,44661.0
T5,5,46139.0
T5,6,44406.0
T5,7,39863.0
T5,8,37234.0
T5,9,34308.0
T5,10,31122.0
T5,11,33613.0
T5,12,27190.0
T5,13,29045.0
T5,14,32167.0
T5,15,34817.0
T5,16,31615.0
T5,17,33162.0
T5,18,25489.0
T5,19,22225.0
T5,20,22641.0
T5,21,22897.0
T5,22,22431.0
T5,23,20236.0
T5,24,22173.0
T5,25,24892.0
T5,26,21991.0
T5,27,25862.0
T5,28,38951.0
T5,29,33679.0
T5,30,32754.0
T5,31,31025.0
T5,32,23004.0
T5,33,22634.0
T5,34,21780.0
T5,35,31061.0
T5,36,26949.0
T5,37,24038.0
T5,38,23787.0
T5,39,24216.0
T5,40,24651.0
T5,41,29199.0
T5,42,29946.0
T5,43,32974.0
T5,44,35338.0
T5,45,36977.0
T5,46,36743.0
T5,47,40047.0
T5,48,39415.0
T5,49,41399.0
T5,50,39853.0
T5,51,37546.0
T5,52,38561.0
T5,53,40751.0
T5,54,41713.0
T5,55,42553.0
T5,56,37534.0
T5,57,38335.0
T5,58,39588.0
T5,59,37294.0
T5,60,37686.0
T5,61,34641.0
T5,62,34909.0
T5,63,31909.0
T5,64,34800.0
T5,65,30480.0
T5,66,33536.0
T5,67,26089.0
T5,68,25270.0
T5,69,25276.0
T5,70,25091.0
T5,71,24910.0
T5,72,24531.0
T5,73,25082.0
T5,74,27071.0
T5,75,24331.0
T5,76,23926.0
T5,77,30285.0
T5,78,33131.0
T5,79,42072.0
T5,80,36030.0
T5,81,32475.0
T5,82,25535.0
T5,83,31428.0
T5,84,35876.0
T5,85,33300.0
T5,86,31174.0
T5,87,32419.0
T5,88,30131.0
T5,89,28360.0
T5,90,25758.0
T5,91,26514.0
T5,92,25587.0
T5,93,30199.0
T5,94,30788.0
T5,95,35206.0
T5,96,33641.0
T5,97,36975.0
T5,98,41379.0
T5,99,45630.0
T5,100,46963.0
T5,101,48747.0
T5,102,46900.0
T5,103,48040.0
T5,104,47572.0
T5,105,46886.0
T5,106,47087.0
T5,107,49118.0
T5,108,47641.0
T5,109,49082.0
T5,110,48020.0
T5,111,48687.0
T5,112,44069.0
T5,113,41933.0
T5,114,33578.0
T5,115,33520.0
T5,116,42664.0
T5,117,43256.0
T5,118,32148.0
T5,119,26923.0
T5,120,28381.0
T5,121,27954.0
T5,122,25324.0
T5,123,25436.0
T5,124,28319.0
T5,125,27562.0
T5,126,25813.0
T5,127,24554.0
T5,128,28702.0
T5,129,25233.0
T5,130,25885.0
T5,131,29970.0
T5,132,36759.0
T5,133,32397.0
T5,134,37499.0
T5,135,27959.0
T5,136,25766.0
T5,137,28769.0
T5,138,28923.0
T5,139,28540.0
T5,140,28905.0
T5,141,28898.0
T5,142,28054.0
T5,143,27548.0
T5,144,29053.0
T5,145,33654.0
T5,146,29136.0
T5,147,27988.0
T5,148,37364.0
T5,149,40651.0
T5,150,39993.0
T5,151,40655.0
T5,152,42235.0
T5,153,47131.0
T5,154,48459.0
T5,155,49855.0
T6,0,158976.0
T6,1,162509.0
T6,2,157174.0
T6,3,148176.0
T6,4,159762.0
T6,5,163314.0
T6,6,156248.0
T6,7,136003.0
T6,8,130193.0
T6,9,125093.0
T6,10,112558.0
T6,11,116068.0
T6,12,113362.0
T6,13,118358.0
T6,14,113231.0
T6,15,117429.0
T6,16,112845.0
T6,17,119489.0
T6,18,112295.0
T6,19,110015.0
T6,20,110555.0
T6,21,108959.0
T6,22,107948.0
T6,23,106975.0
T6,24,109808.0
T6,25,114290.0
T6,26,109483.0
T6,27,110746.0
T6,28,118674.0
T6,29,117659.0
T6,30,119226.0
T6,31,115735.0
T6,32,108143.0
T6,33,107147.0
T6,34,109552.0
T6,35,118323.0
T6,36,118258.0
T6,37,116843.0
T6,38,113886.0
T6,39,112685.0
T6,40,116828.0
T6,41,121836.0
T6,42,119352.0
T6,43,117760.0
T6,44,127602.0
T6,45,126447.0
T6,46,130717.0
T6,47,142522.0
T6,48,150400.0
T6,49,157604.0
T6,50,148176.0
T6,51,148627.0
T6,52,150703.0
T6,53,151688.0
T6,54,160239.0
T6,55,163908.0
T6,56,152311.0
T6,57,151898.0
T6,58,153960.0
T6,59,149054.0
T6,60,155570.0
T6,61,143323.0
T6,62,139322.0
T6,63,130311.0
T6,64,141945.0
T6,65,123874.0
T6,66,124952.0
T6,67,106883.0
T6,68,104333.0
T6,69,107799.0
T6,70,108220.0
T6,71,110634.0
T6,72,110968.0
T6,73,110796.0
T6,74,112028.0
T6,75,110365.0
T6,76,111096.0
T6,77,113587.0
T6,78,124148.0
T6,79,125069.0
T6,80,114700.0
T6,81,115418.0
T6,82,112331.0
T6,83,117528.0
T6,84,115161.0
T6,85,107469.0
T6,86,110770.0
T6,87,117654.0
T6,88,114256.0
T6,89,114799.0
T6,90,117216.0
T6,91,117275.0
T6,92,111076.0
T6,93,124119.0
T6,94,123296.0
T6,95,122916.0
T6,96,130828.0
T6,97,131216.0
T6,98,146492.0
T6,99,164289.0
T6,100,168253.0
T6,101,165898.0
T6,102,160440.0
T6,103,163275.0
T6,104,161431.0
T6,105,149756.0
T6,106,153488.0
T6,107,154664.0
T6,108,164625.0
T6,109,164111.0
T6,110,162270.0
T6,111,156108.0
T6,112,153323.0
T6,113,143106.0
T6,114,121423.0
T6,115,120052.0
T6,116,134329.0
T6,117,138575.0
T6,118,122097.0
T6,119,113789.0
T6,120,113195.0
T6,121,108187.0
T6,122,106561.0
T6,123,106158.0
T6,124,110034.0
T6,125,106916.0
T6,126,103814.0
T6,127,104393.0
T6,128,116298.0
T6,129,107880.0
T6,130,108692.0
T6,131,110253.0
T6,132,114382.0
T6,133,110011.0
T6,134,111891.0
T6,135,107772.0
T6,136,99712.0
T6,137,99292.0
T6,138,101799.0
T6,139,109528.0
T6,140,109432.0
T6,141,112451.0
T6,142,111401.0
T6,143,111432.0
T6,144,113672.0
T6,145,119852.0
T6,146,113119.0
T6,147,112875.0
T6,148,126998.0
T6,149,134951.0
T6,150,136903.0
T6,151,136863.0
T6,152,143738.0
T6,153,153976.0
T6,154,163670.0
T6,155,157158.0
T7,0,3096.0
T7,1,3014.0
T7,2,3184.0
T7,3,2961.0
T7,4,3032.0
T7,5,3008.0
T7,6,2886.0
T7,7,2811.0
T7,8,2526.0
T7,9,2549.0
T7,10,2405.0
T7,11,2432.0
T7,12,2270.0
T7,13,2245.0
T7,14,2145.0
T7,15,2126.0
T7,16,2145.0
T7,17,2276.0
T7,18,1981.0
T7,19,1944.0
T7,20,1899.0
T7,21,1884.0
T7,22,1944.0
T7,23,1884.0
T7,24,1899.0
T7,25,1898.0
T7,26,2004.0
T7,27,6183.0
T7,28,11358.0
T7,29,16032.0
T7,30,18826.0
T7,31,15748.0
T7,32,5864.0
T7,33,2105.0
T7,34,1931.0
T7,35,2027.0
T7,36,1989.0
T7,37,3601.0
T7,38,1930.0
T7,39,2013.0
T7,40,1992.0
T7,41,1979.0
T7,42,1998.0
T7,43,2108.0
T7,44,2226.0
T7,45,2248.0
T7,46,2275.0
T7,47,2996.0
T7,48,3303.0
T7,49,3319.0
T7,50,2773.0
T7,51,3066.0
T7,52,3236.0
T7,53,3063.0
T7,54,3021.0
T7,55,2998.0
T7,56,2806.0
T7,57,2855.0
T7,58,2859.0
T7,59,2807.0
T7,60,3019.0
T7,61,2623.0
T7,62,3339.0
T7,63,3277.0
T7,64,3505.0
T7,65,3187.0
T7,66,2982.0
T7,67,2723.0
T7,68,2697.0
T7,69,2731.0
T7,70,2715.0
T7,71,2373.0
T7,72,2547.0
T7,73,2371.0
T7,74,2242.0
T7,75,2335.0
T7,76,2226.0
T7,77,3098.0
T7,78,12106.0
T7,79,20963.0
T7,80,19383.0
T7,81,14832.0
T7,82,3783.0
T7,83,12435.0
T7,84,18759.0
T7,85,18913.0
T7,86,17562.0
T7,87,9564.0
T7,88,6690.0
T7,89,3445.0
T7,90,2334.0
T7,91,2222.0
T7,92,2260.0
T7,93,2450.0
T7,94,2526.0
T7,95,2963.0
T7,96,2959.0
T7,97,2956.0
T7,98,3336.0
T7,99,3578.0
T7,100,3792.0
T7,101,3541.0
T7,102,3621.0
T7,103,4351.0
T7,104,4182.0
T7,105,3696.0
T7,106,3815.0
T7,107,3968.0
T7,108,3872.0
T7,109,4220.0
T7,110,3873.0
T7,111,3977.0
T7,112,3720.0
T7,113,3807.0
T7,114,3181.0
T7,115,2888.0
T7,116,3306.0
T7,117,3562.0
T7,118,3069.0
T7,119,2759.0
T7,120,2701.0
T7,121,2589.0
T7,122,2433.0
T7,123,2447.0
T7,124,2438.0
T7,125,2459.0
T7,126,2312.0
T7,127,2316.0
T7,128,2381.0
T7,129,2270.0
T7,130,3118.0
T7,131,5403.0
T7,132,16357.0
T7,133,9066.0
T7,134,17840.0
T7,135,11823.0
T7,136,2576.0
T7,137,12195.0
T7,138,3902.0
T7,139,7431.0
T7,140,2393.0
T7,141,2399.0
T7,142,2455.0
T7,143,2493.0
T7,144,2670.0
T7,145,2737.0
T7,146,2730.0
T7,147,2666.0
T7,148,3277.0
T7,149,3554.0
T7,150,3508.0
T7,151,3399.0
T7,152,3467.0
T7,153,3831.0
T7,154,3475.0
T7,155,3689.0
T8,0,186983.0
T8,1,186854.0
T8,2,185672.0
T8,3,174922.0
T8,4,177642.0
T8,5,180699.0
T8,6,171378.0
T8,7,167664.0
T8,8,163664.0
T8,9,161918.0
T8,10,156550.0
T8,11,156644.0
T8,12,159405.0
T8,13,169666.0
T8,14,152998.0
T8,15,162065.0
T8,16,155800.0
T8,17,156996.0
T8,18,163439.0
T8,19,160133.0
T8,20,158815.0
T8,21,163677.0
T8,22,162895.0
T8,23,159192.0
T8,24,161273.0
T8,25,172440.0
T8,26,162615.0
T8,27,164310.0
T8,28,181212.0
T8,29,183721.0
T8,30,176518.0
T8,31,182756.0
T8,32,175175.0
T8,33,174886.0
T8,34,164509.0
T8,35,177719.0
T8,36,175120.0
T8,37,173765.0
T8,38,170773.0
T8,39,164665.0
T8,40,171654.0
T8,41,165352.0
T8,42,166717.0
T8,43,174014.0
T8,44,175479.0
T8,45,175248.0
T8,46,177775.0
T8,47,180018.0
T8,48,183592.0
T8,49,188349.0
T8,50,189271.0
T8,51,185358.0
T8,52,180292.0
T8,53,179246.0
T8,54,184822.0
T8,55,189280.0
T8,56,179410.0
T8,57,168942.0
T8,58,178174.0
T8,59,175391.0
T8,60,175341.0
T8,61,169900.0
T8,62,174812.0
T8,63,173164.0
T8,64,195646.0
T8,65,163342.0
T8,66,169070.0
T8,67,159867.0
T8,68,159379.0
T8,69,153874.0
T8,70,159289.0
T8,71,156467.0
T8,72,159156.0
T8,73,158514.0
T8,74,166706.0
T8,75,163324.0
T8,76,162505.0
T8,77,180965.0
T8,78,194241.0
T8,79,190550.0
T8,80,175990.0
T8,81,172276.0
T8,82,176996.0
T8,83,182704.0
T8,84,188669.0
T8,85,182746.0
T8,86,178625.0
T8,87,184190.0
T8,88,176825.0
T8,89,180847.0
T8,90,179949.0
T8,91,171875.0
T8,92,172133.0
T8,93,177772.0
T8,94,175511.0
T8,95,171844.0
T8,96,172153.0
T8,97,171554.0
T8,98,170674.0
T8,99,177247.0
T8,100,181135.0
T8,101,187362.0
T8,102,185751.0
T8,103,188931.0
T8,104,188208.0
T8,105,181470.0
T8,106,182389.0
T8,107,183690.0
T8,108,178909.0
T8,109,184687.0
T8,110,184619.0
T8,111,179558.0
T8,112,173070.0
T8,113,164371.0
T8,114,155095.0
T8,115,154698.0
T8,116,159592.0
T8,117,149435.0
T8,118,159451.0
T8,119,166662.0
T8,120,147945.0
T8,121,153488.0
T8,122,156261.0
T8,123,161396.0
T8,124,156580.0
T8,125,152507.0
T8,126,155210.0
T8,127,161488.0
T8,128,170106.0
T8,129,164451.0
T8,130,163695.0
T8,131,168254.0
T8,132,177052.0
T8,133,172458.0
T8,134,179855.0
T8,135,177989.0
T8,136,171650.0
T8,137,170995.0
T8,138,167275.0
T8,139,172862.0
T8,140,160299.0
T8,141,167105.0
T8,142,161167.0
T8,143,165450.0
T8,144,163324.0
T8,145,165879.0
T8,146,165025.0
T8,147,166133.0
T8,148,166572.0
T8,149,171688.0
T8,150,175395.0
T8,151,171391.0
T8,152,175116.0
T8,153,182344.0
T8,154,188308.0
T8,155,193782.0
T9,0,51538.0
T9,1,53498.0
T9,2,53221.0
T9,3,49217.0
T9,4,47075.0
T9,5,47519.0
T9,6,44315.0
T9,7,40927.0
T9,8,41309.0
T9,9,38491.0
T9,10,34315.0
T9,11,34688.0
T9,12,30702.0
T9,13,32249.0
T9,14,30240.0
T9,15,32622.0
T9,16,32629.0
T9,17,30418.0
T9,18,28049.0
T9,19,31180.0
T9,20,27263.0
T9,21,26609.0
T9,22,28060.0
T9,23,30355.0
T9,24,30852.0
T9,25,28950.0
T9,26,25582.0
T9,27,34117.0
T9,28,34695.0
T9,29,33943.0
T9,30,28702.0
T9,31,34232.0
T9,32,32091.0
T9,33,27136.0
T9,34,28214.0
T9,35,37771.0
T9,36,40463.0
T9,37,40527.0
T9,38,39485.0
T9,39,40587.0
T9,40,44737.0
T9,41,39908.0
T9,42,34271.0
T9,43,37464.0
T9,44,42113.0
T9,45,43385.0
T9,46,41499.0
T9,47,43250.0
T9,48,42758.0
T9,49,47051.0
T9,50,47874.0
T9,51,38236.0
T9,52,44169.0
T9,53,47204.0
T9,54,50724.0
T9,55,49251.0
T9,56,42510.0
T9,57,45195.0
T9,58,42391.0
T9,59,44202.0
T9,60,42747.0
T9,61,33933.0
T9,62,35328.0
T9,63,35781.0
T9,64,37016.0
T9,65,32343.0
T9,66,33857.0
T9,67,31698.0
T9,68,26601.0
T9,69,24952.0
T9,70,28045.0
T9,71,26549.0
T9,72,25181.0
T9,73,30344.0
T9,74,28117.0
T9,75,28159.0
T9,76,24855.0
T9,77,30508.0
T9,78,42065.0
T9,79,38726.0
T9,80,31465.0
T9,81,30244.0
T9,82,29314.0
T9,83,29172.0
T9,84,35105.0
T9,85,32249.0
T9,86,33903.0
T9,87,33740.0
T9,88,33153.0
T9,89,40321.0
T9,90,37833.0
T9,91,40866.0
T9,92,40641.0
T9,93,46038.0
T9,94,38490.0
T9,95,38062.0
T9,96,35154.0
T9,97,38866.0
T9,98,42159.0
T9,99,42628.0
T9,100,42499.0
T9,101,42989.0
T9,102,44188.0
T9,103,40026.0
T9,104,41472.0
T9,105,40825.0
T9,106,47009.0
T9,107,40360.0
T9,108,39905.0
T9,109,41910.0
T9,110,40506.0
T9,111,40627.0
T9,112,36788.0
T9,113,35807.0
T9,114,29234.0
T9,115,29541.0
T9,116,31818.0
T9,117,34081.0
T9,118,28913.0
T9,119,31121.0
T9,120,27030.0
T9,121,27134.0
T9,122,26255.0
T9,123,26255.0
T9,124,26273.0
T9,125,27878.0
T9,126,27608.0
T9,127,27172.0
T9,128,30468.0
T9,129,28082.0
T9,130,33124.0
T9,131,33280.0
T9,132,34960.0
T9,133,31148.0
T9,134,34993.0
T9,135,29397.0
T9,136,26170.0
T9,137,33035.0
T9,138,31513.0
T9,139,36259.0
T9,140,37956.0
T9,141,37570.0
T9,142,35708.0
T9,143,40384.0
T9,144,43056.0
T9,145,41288.0
T9,146,32212.0
T9,147,30128.0
T9,148,34479.0
T9,149,37856.0
